,id,songName,albumName,albumID,explicit,releaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumental,liveness,valence,tempo,duration_ms,time_signature
155,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),Down to Earth,6uMu4poce5OdMd1HYglZux,False,2023-04-25,0.763,0.699,11,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,205101,4
156,1o844wI52S3TjXGBwvGcc7,Hold On Tight,Hold On Tight,4bWGRs1SqNwFXaRDXRAANN,False,2023-03-30,0.586,0.816,7,-6.331,1,0.283,0.0911,2.81e-06,0.235,0.265,119.8,149719,4
157,7a86ARVnm366v2UY1z9Ak8,Poppy (Korean Ver.),Poppy (Korean Ver.),5zjvNPacLQjzsBVDxyhuiu,False,2023-02-03,0.808,0.786,4,-3.842,0,0.0375,0.139,0.0,0.266,0.821,126.047,178293,4
158,0f0SbtoKGe41cX5LzlnX6X,Tinnitus (Wanna be a rock),The Name Chapter: TEMPTATION,7gkb4MxKe9rnoR3wxbJXJg,False,2023-01-27,0.9,0.725,5,-6.213,0,0.135,0.179,0.00101,0.0791,0.791,100.015,157262,4
159,4fsQ0K37TOXa3hEQfjEic1,ANTIFRAGILE,ANTIFRAGILE,3u0ggfmK0vjuHMNdUbtaa9,False,2022-10-17,0.882,0.797,10,-3.299,0,0.0819,0.0821,0.0,0.113,0.824,105.025,184444,4
160,0IGUXY4JbK18bu9oD4mPIm,TOMBOY,I NEVER DIE,1T2W9vDajFreUuycPDjUXk,False,2022-03-14,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,174387,4
161,07fqC2Puj13frv9iYtlcri,Girls,Girls - The 2nd Mini Album,2rwRvLdjGzjSYl9AS3UbvH,False,2022-07-08,0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958,240440,4
162,0RDqNCRBGrSegk16Avfzuq,Talk that Talk,BETWEEN 1&2,3NZ94nQbqimcu2i71qhc4f,False,2022-08-26,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,177467,4
163,69xohKu8C1fsflYAiSNbwM,Run BTS,Proof,6al2VdKbb6FIz9d7lU7WRB,False,2022-06-10,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
164,7nthiiDfS9WHNHDMwmAz98,BTBT,BTBT,3KFvIKBPy0SciyKwrebvpO,False,2022-05-13,0.766,0.663,9,-6.932,0,0.175,0.334,0.0,0.117,0.509,109.967,219550,4
165,4LJgBT9yo0beHlaBesCFEv,Birthday,‘The ReVe Festival 2022 - Birthday’,58OR7UoaJkJzqeQGClHzh1,False,2022-11-28,0.645,0.864,10,-2.065,0,0.0538,0.0486,0.0,0.0491,0.673,149.949,216440,4
166,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),FACE,4xc3Lc9yASZgEJGH7acWMB,False,2023-03-24,0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,212254,4
167,4hbU7BVioG3WnoRNEy5YUf,Kitsch,Kitsch,7KgFOJg5QAU9Ex9L2oTy67,False,2023-03-27,0.8,0.792,11,-4.953,1,0.0529,0.0119,1.11e-06,0.0495,0.455,102.0,195440,4
168,3o3bRIOKDwGOdqL9HBUNrO,Love Me Like This,expérgo,6PjYm8BNtMDDsflyAQUcDx,False,2023-03-20,0.803,0.805,8,-4.167,0,0.064,0.00805,0.0,0.0641,0.652,97.031,188719,4
169,4OtVQ2ZxS7yigIjGz5yKg1,SET ME FREE,READY TO BE,7hzP5i7StxYG4StECA0rrJ,False,2023-03-10,0.756,0.831,5,-2.536,0,0.141,0.0966,0.0,0.0499,0.703,113.025,181680,4
170,3WUyu94psXrYV6HZbXgcFA,Rover,Rover - The 3rd Mini Album,5gzd4IZ9KTwW6Hhgll1K7U,False,2023-03-13,0.629,0.806,1,-2.034,0,0.201,0.0212,0.000487,0.0955,0.545,186.022,174507,4
171,59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,Set Me Free Pt.2,781fDX4OibkZA9fj56Ycbz,True,2023-03-17,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,200930,4
172,3IelG5zYpWWCZIH4cqWlPV,SHOOTING STAR,SHOOTING STAR,1Gi6ij4Jxc4qE35i3I0gqS,False,2023-01-25,0.625,0.712,2,-5.996,1,0.0539,0.0229,0.0,0.252,0.398,163.015,203557,4
173,7eBpUuPnDTfbeP1P4P93CS,Fighting (Feat. Lee Young Ji),BSS 1st Single Album 'SECOND WIND',4dHtpne5cAAGgDYFNHu7jW,False,2023-02-06,0.707,0.86,11,-2.935,0,0.191,0.103,0.0,0.0989,0.922,152.026,204467,4
174,4kSDi21MeOoSvpZs6MveI9,Teddy Bear,Teddy Bear,325MEzmbNCQvjsP3oaJh4x,False,2023-02-14,0.757,0.91,7,-3.953,1,0.0524,0.105,0.0,0.387,0.686,119.04,189773,4
175,0rhI6gvOeCKA502RdJAbfs,Sugar Rush Ride,The Name Chapter: TEMPTATION,7gkb4MxKe9rnoR3wxbJXJg,False,2023-01-27,0.712,0.893,10,-3.995,0,0.0851,0.00788,0.0,0.169,0.828,125.022,186571,4
176,5NcLyVjUgG0yfwHgr5t81w,MOONLIGHT SUNRISE,MOONLIGHT SUNRISE,3Haj0Fa9S49LCeYcOiODcL,False,2023-01-20,0.749,0.781,1,-3.265,1,0.0578,0.392,2.12e-06,0.086,0.606,125.09,180320,4
177,70yszWsLJvNZuZwaHNMROf,PANDORA,PANDORA'S BOX,3uYJ8J1nYZB3sXjRNKWHGz,False,2023-01-25,0.644,0.945,9,-2.436,1,0.123,0.0204,0.000133,0.328,0.759,149.986,196827,4
178,2KwOuFfwQyT9mZqjvchd81,Ay-Yo,Ay-Yo - The 4th Album Repackage,3VjW3uIc8WG4tXF2wKW9BJ,False,2023-01-30,0.753,0.845,8,-2.751,0,0.121,0.00629,0.0,0.317,0.413,90.002,221493,4
179,0mlxHb4jbPr1PUBUv0WHRS,Stamp On It,Stamp On It - The 1st Mini Album,2Gxd1fr4RFHVNx6IxGr9I7,False,2023-01-16,0.632,0.849,5,-1.462,0,0.0408,0.0309,0.000142,0.182,0.393,142.959,232813,4
180,61AZsmFB3VoJdmraMk5ZSn,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),3qUOk1Se3Oopu5pUlHTjVJ,False,2023-01-13,0.78,0.683,0,-5.319,1,0.0575,0.0801,0.0,0.22,0.608,100.049,175776,4
181,1F6qqwgyBjcIMzen8RrOXQ,Beautiful Liar,REASON,5evr2BAxQmxyF8dZyaezzS,False,2023-01-09,0.736,0.879,10,-4.359,0,0.186,0.0592,0.0,0.339,0.574,129.947,183120,4
182,5cTnKClHyczcUhFT8MKBZe,HALAZIA,SPIN OFF : FROM THE WITNESS,0NQQk6vo9LOOwKjZc2iUwm,False,2022-12-30,0.482,0.884,6,-4.538,0,0.0668,0.000677,0.000575,0.0883,0.377,171.915,197026,4
183,27bIik73QCu8Xzt3xpG1bI,Candy,Candy - Winter Special Mini Album,6lqazNXadymQLwUh41qW2K,False,2022-12-16,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
